Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"REG","REGENCY CENTERS REIT CORP","Equity","0.04","64.94","100,809.00","6,546,536.46","6,546,536.46","Real Estate","2726177","US7588491032","New York Stock Exchange Inc."
"NCLH","NORWEGIAN CRUISE LINE HOLDINGS LTD","Equity","0.04","49.27","132,128.00","6,509,946.56","6,509,946.56","Consumer Discretionary","B9CGTC3","BMG667211046","New York Stock Exchange Inc."
"BEN","FRANKLIN RESOURCES INC","Equity","0.04","31.64","203,503.00","6,438,834.92","6,438,834.92","Financials","2350684","US3546131018","New York Stock Exchange Inc."
"PNW","PINNACLE WEST CORP","Equity","0.04","87.56","73,420.00","6,428,655.20","6,428,655.20","Utilities","2048804","US7234841010","New York Stock Exchange Inc."
"ZION","ZIONS BANCORPORATION","Equity","0.04","50.42","127,284.00","6,417,659.28","6,417,659.28","Financials","2989828","US9897011071","NASDAQ"
"PVH","PVH CORP","Equity","0.04","126.28","50,471.00","6,373,477.88","6,373,477.88","Consumer Discretionary","B3V9F12","US6936561009","New York Stock Exchange Inc."
"ZBRA","ZEBRA TECHNOLOGIES CORP CLASS A","Equity","0.04","182.48","34,919.00","6,372,019.12","6,372,019.12","Information Technology","2989356","US9892071054","NASDAQ"
"UGI","UGI CORP","Equity","0.04","55.36","114,638.00","6,346,359.68","6,346,359.68","Utilities","2910118","US9026811052","New York Stock Exchange Inc."
"MAS","MASCO CORP","Equity","0.04","31.03","203,746.00","6,322,238.38","6,322,238.38","Industrials","2570200","US5745991068","New York Stock Exchange Inc."
"NLSN","NIELSEN HOLDINGS PLC","Equity","0.04","26.54","237,877.00","6,313,255.58","6,313,255.58","Industrials","BWFY550","GB00BWFY5505","New York Stock Exchange Inc."
"JBHT","JB HUNT TRANSPORT SERVICES INC","Equity","0.04","109.25","57,767.00","6,311,044.75","6,311,044.75","Industrials","2445416","US4456581077","NASDAQ"
"NBIX","NEUROCRINE BIOSCIENCES INC","Equity","0.04","108.31","58,131.00","6,296,168.61","6,296,168.61","Health Care","2623911","US64125C1099","NASDAQ"
"LDOS","LEIDOS HOLDINGS INC","Equity","0.04","65.83","95,553.00","6,290,253.99","6,290,253.99","Information Technology","BDV82B8","US5253271028","New York Stock Exchange Inc."
"PKI","PERKINELMER INC","Equity","0.04","86.06","72,789.00","6,264,221.34","6,264,221.34","Health Care","2305844","US7140461093","New York Stock Exchange Inc."
"SPR","SPIRIT AEROSYSTEMS INC CLASS A","Equity","0.04","88.85","70,307.00","6,246,776.95","6,246,776.95","Industrials","B1HMMS7","US8485741099","New York Stock Exchange Inc."
"NI","NISOURCE INC","Equity","0.04","25.96","239,387.00","6,214,486.52","6,214,486.52","Utilities","2645409","US65473P1057","New York Stock Exchange Inc."
"FRT","FEDERAL REALTY INVESTMENT TRUST RE","Equity","0.04","128.14","48,443.00","6,207,486.02","6,207,486.02","Real Estate","2333931","US3137472060","New York Stock Exchange Inc."
"HII","HUNTINGTON INGALLS INDUSTRIES INC","Equity","0.04","220.06","28,199.00","6,205,471.94","6,205,471.94","Industrials","B40SSC9","US4464131063","New York Stock Exchange Inc."
"RGA","REINSURANCE GROUP OF AMERICA INC","Equity","0.04","149.86","41,394.00","6,203,304.84","6,203,304.84","Financials","2731193","US7593516047","New York Stock Exchange Inc."
"TRMB","TRIMBLE INC","Equity","0.04","37.79","163,105.00","6,163,737.95","6,163,737.95","Information Technology","2903958","US8962391004","NASDAQ"
"DOX","AMDOCS LTD","Equity","0.04","64.34","95,580.00","6,149,617.20","6,149,617.20","Information Technology","2256908","GB0022569080","NASDAQ"
"IPG","INTERPUBLIC GROUP OF COMPANIES INC","Equity","0.04","23.92","257,034.00","6,148,253.28","6,148,253.28","Communication","2466321","US4606901001","New York Stock Exchange Inc."
"LEA","LEAR CORP","Equity","0.03","141.44","43,192.00","6,109,076.48","6,109,076.48","Consumer Discretionary","B570P91","US5218652049","New York Stock Exchange Inc."
"TMK","TORCHMARK CORP","Equity","0.03","87.49","69,523.00","6,082,567.27","6,082,567.27","Financials","2896713","US8910271043","New York Stock Exchange Inc."
